id,association_id,person_id,membership_number,joined_date,status,notes
52,4,10,MEM-00052,2019-02-07,active,Заметка по членству #52
53,5,2,MEM-00053,2022-09-07,inactive,
54,6,86,MEM-00054,2023-05-23,expelled,
55,7,107,MEM-00055,2024-08-25,active,
56,8,56,MEM-00056,2021-02-01,active,Заметка по членству #56
57,1,157,MEM-00057,2015-10-09,active,
58,2,109,MEM-00058,2014-10-12,active,
59,3,81,MEM-00059,2025-08-04,inactive,
60,4,175,MEM-00060,2017-04-22,active,Заметка по членству #60
61,5,22,MEM-00061,2024-01-27,active,
62,6,151,MEM-00062,2017-10-01,deceased,
63,7,138,MEM-00063,2018-04-28,active,
64,8,26,MEM-00064,2023-07-01,active,Заметка по членству #64
65,1,43,MEM-00065,2025-11-26,active,
66,2,1,MEM-00066,2017-04-26,inactive,
67,3,62,MEM-00067,2019-10-14,active,
68,4,112,MEM-00068,2015-07-03,active,Заметка по членству #68
69,5,3,MEM-00069,2022-11-30,active,
70,6,97,MEM-00070,2020-03-12,active,
71,7,139,MEM-00071,2025-10-20,active,
72,8,160,MEM-00072,2025-09-20,active,Заметка по членству #72
73,1,12,MEM-00073,2016-07-10,active,
74,2,137,MEM-00074,2017-04-29,active,
75,3,150,MEM-00075,2016-03-31,expelled,
76,4,133,MEM-00076,2016-04-07,active,Заметка по членству #76
77,5,40,MEM-00077,2021-09-17,inactive,
78,6,70,MEM-00078,2019-12-04,active,
79,7,136,MEM-00079,2025-05-18,active,
80,8,25,MEM-00080,2024-08-11,active,Заметка по членству #80
81,1,148,MEM-00081,2020-03-06,active,
82,2,19,MEM-00082,2023-01-04,active,
83,3,84,MEM-00083,2021-06-08,active,
84,4,73,MEM-00084,2015-02-08,active,Заметка по членству #84
85,5,88,MEM-00085,2020-01-10,inactive,
86,6,120,MEM-00086,2014-06-15,active,
87,7,90,MEM-00087,2020-10-18,active,
88,8,94,MEM-00088,2025-01-10,inactive,Заметка по членству #88
89,1,132,MEM-00089,2016-03-15,deceased,
90,2,149,MEM-00090,2019-02-11,active,
91,3,103,MEM-00091,2023-12-09,active,
92,4,93,MEM-00092,2022-04-06,active,Заметка по членству #92
93,5,143,MEM-00093,2023-05-08,active,
94,6,165,MEM-00094,2016-01-02,active,
95,7,127,MEM-00095,2018-09-28,inactive,
96,8,74,MEM-00096,2023-02-18,active,Заметка по членству #96
97,1,121,MEM-00097,2025-08-02,inactive,
98,2,134,MEM-00098,2015-04-06,active,
99,3,169,MEM-00099,2017-07-26,active,
100,4,95,MEM-00100,2025-05-14,active,Заметка по членству #100
101,5,69,MEM-00101,2025-10-04,inactive,
102,6,126,MEM-00102,2014-08-26,active,
103,7,31,MEM-00103,2018-07-03,inactive,
104,8,172,MEM-00104,2019-08-06,active,Заметка по членству #104
105,1,171,MEM-00105,2018-08-24,inactive,
106,2,168,MEM-00106,2018-06-20,active,
107,3,21,MEM-00107,2024-05-30,active,
108,4,30,MEM-00108,2024-04-04,expelled,Заметка по членству #108
109,5,75,MEM-00109,2019-09-16,active,
110,6,146,MEM-00110,2024-12-18,active,
111,7,46,MEM-00111,2017-06-22,expelled,
112,8,68,MEM-00112,2024-08-23,active,Заметка по членству #112
113,1,61,MEM-00113,2021-11-05,active,
114,2,118,MEM-00114,2019-10-20,active,
115,3,162,MEM-00115,2016-01-11,active,
116,4,140,MEM-00116,2022-09-02,active,Заметка по членству #116
117,5,100,MEM-00117,2018-10-22,inactive,
118,6,104,MEM-00118,2019-01-19,active,
119,7,153,MEM-00119,2020-01-14,active,
120,8,124,MEM-00120,2025-07-06,active,Заметка по членству #120
121,1,29,MEM-00121,2014-03-14,active,
122,2,77,MEM-00122,2018-07-15,active,
123,3,41,MEM-00123,2014-03-11,active,
124,4,4,MEM-00124,2020-11-07,active,Заметка по членству #124
125,5,173,MEM-00125,2023-06-25,active,
126,6,35,MEM-00126,2023-07-04,inactive,
127,7,50,MEM-00127,2021-10-27,active,
128,8,83,MEM-00128,2018-11-23,active,Заметка по членству #128
129,1,129,MEM-00129,2025-09-05,inactive,
130,2,89,MEM-00130,2024-11-19,active,
131,3,125,MEM-00131,2014-03-02,active,
132,4,145,MEM-00132,2022-05-24,active,Заметка по членству #132
133,5,92,MEM-00133,2020-05-04,active,
134,6,161,MEM-00134,2019-08-16,active,
135,7,5,MEM-00135,2021-11-12,deceased,
136,8,64,MEM-00136,2021-04-17,inactive,Заметка по членству #136
137,1,135,MEM-00137,2019-11-10,active,
138,2,52,MEM-00138,2020-09-13,active,
139,3,108,MEM-00139,2025-08-08,active,
140,4,36,MEM-00140,2015-04-11,inactive,Заметка по членству #140
141,5,99,MEM-00141,2023-01-24,active,
142,6,154,MEM-00142,2017-02-20,active,
143,7,23,MEM-00143,2025-02-26,deceased,
144,8,16,MEM-00144,2019-10-27,inactive,Заметка по членству #144
145,1,123,MEM-00145,2023-01-28,active,
146,2,141,MEM-00146,2014-10-17,active,
147,3,106,MEM-00147,2018-04-05,active,
148,4,163,MEM-00148,2018-12-27,active,Заметка по членству #148
149,5,76,MEM-00149,2024-09-02,inactive,
150,6,63,MEM-00150,2022-01-15,active,
151,7,9,MEM-00151,2017-10-24,inactive,
152,8,39,MEM-00152,2018-01-23,active,Заметка по членству #152
153,1,115,MEM-00153,2024-07-23,active,
154,2,72,MEM-00154,2019-10-20,active,
155,3,71,MEM-00155,2018-02-08,expelled,
156,4,48,MEM-00156,2021-07-12,active,Заметка по членству #156
157,5,55,MEM-00157,2019-03-31,active,
158,6,91,MEM-00158,2020-11-20,active,
159,7,45,MEM-00159,2021-06-07,active,
160,8,110,MEM-00160,2020-08-05,active,Заметка по членству #160
161,1,98,MEM-00161,2016-08-22,active,
162,2,8,MEM-00162,2015-08-07,active,
163,3,128,MEM-00163,2018-05-13,active,
164,4,102,MEM-00164,2022-07-24,active,Заметка по членству #164
165,5,111,MEM-00165,2023-04-08,active,
166,6,147,MEM-00166,2017-05-20,active,
167,7,44,MEM-00167,2018-06-29,active,
168,8,13,MEM-00168,2024-04-06,active,Заметка по членству #168
169,1,119,MEM-00169,2018-01-17,active,
170,2,11,MEM-00170,2023-10-23,active,
171,3,32,MEM-00171,2017-05-09,active,
172,4,85,MEM-00172,2015-04-21,active,Заметка по членству #172
173,5,24,MEM-00173,2020-02-19,active,
174,6,33,MEM-00174,2017-10-13,active,
175,7,114,MEM-00175,2017-07-21,active,
176,8,166,MEM-00176,2024-08-08,active,Заметка по членству #176
177,1,51,MEM-00177,2016-11-26,active,
178,2,17,MEM-00178,2023-08-19,active,
179,3,6,MEM-00179,2024-09-15,active,
180,4,20,MEM-00180,2014-11-06,active,Заметка по членству #180
